embedding_name,configuration,clue,word0ForClue,word1ForClue,blueWord0,blueWord1,blueWord2,blueWord3,blueWord4,blueWord5,blueWord6,blueWord7,blueWord8,blueWord9,redWord0,redWord1,redWord2,redWord3,redWord4,redWord5,redWord6,redWord7,redWord8,redWord9
gloveWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",station,tower,train,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
gloveWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",december,contract,march,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
gloveWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",vehicles,car,fire,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
gloveWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",important,well,key,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
gloveWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",downtown,shop,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
gloveWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",cancer,disease,heart,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
gloveWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",fla.,phoenix,beach,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
gloveWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",deal,contract,oil,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
gloveWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",ankle,game,calf,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
gloveWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",airliner,jet,pan,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
bertWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",beyond,tower,brush,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
bertWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",cause,jet,comic,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
bertWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",modern,tag,row,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
bertWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",blood,key,engine,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
bertWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",feet,knight,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
bertWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",black,worm,engine,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
bertWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",finish,well,mug,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
bertWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",error,litter,brush,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
bertWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",period,litter,india,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
bertWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",object,circle,casino,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
fasttextWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",wash,brush,water,cell,sink,drill,octopus,ray,tower,brush,nurse,train,water,cycle,paste,scientist,flute,grass,star,knight,oil,server,mug
fasttextWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",problem,bug,root,millionaire,contract,march,bug,jet,ray,olympus,rose,root,comic,himalayas,fire,jack,knight,pipe,piano,kid,nut,parachute,space
fasttextWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",insect,spider,bug,shoe,fan,car,spider,whip,bug,fire,bison,tag,row,moon,fish,pistol,africa,phoenix,tower,needle,heart,mammoth,ice
fasttextWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",important,well,key,millionaire,mint,cliff,well,key,straw,kid,needle,duck,engine,air,car,spider,luck,king,hole,knight,post,ham,carrot
fasttextWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",restaurant,shop,hotel,shop,bark,alps,scale,scorpion,knight,fighter,hotel,compound,club,luck,pit,oil,tap,rose,nut,comic,school,pool,fish
fasttextWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",virus,disease,worm,lab,bottle,disease,state,heart,robot,worm,ruler,ivory,engine,spider,whale,jet,giant,calf,bill,needle,vacuum,parachute,space
fasttextWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",shore,cliff,beach,foot,racket,cliff,well,phoenix,fork,diamond,dwarf,mug,beach,suit,belt,fire,kiwi,spot,nail,vacuum,doctor,cell,pan
fasttextWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",trash,litter,brush,contract,plate,roulette,kangaroo,pyramid,litter,oil,tap,brush,bar,olive,star,phoenix,satellite,olympus,opera,cotton,stream,ivory,school
fasttextWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",brazil,amazon,india,contract,olive,torch,litter,game,calf,death,needle,amazon,india,cycle,paste,scientist,himalayas,scale,spot,nail,bottle,pool,fish
fasttextWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",tuskers,himalayas,mammoth,circle,cliff,himalayas,star,scorpion,casino,fork,jet,mammoth,pan,crown,cold,mint,mount,conductor,spot,oil,disease,cloak,play
